Category,Percentage,Date,
separateMale,54%,2019-08-12,
separateMale,56%,2020-02-03,
separateMale,57%,2020-08-11,
separateMale,54%,2021-01-31,
separateMale,57%,2021-08-09,
separateMale,55%,2022-01-31,
separateMale,56%,2022-08-08,
separateMale,56%,2023-02-01,
separateMale,54%,2023-08-09,
separateMale,62%,2024-01-31,
bothMale,27%,2019-08-12,
bothMale,26%,2020-02-03,
bothMale,26%,2020-08-11,
bothMale,29%,2021-01-31,
bothMale,28%,2021-08-09,
bothMale,28%,2022-01-31,
bothMale,31%,2022-08-08,
bothMale,29%,2023-02-01,
bothMale,32%,2023-08-09,
bothMale,27%,2024-01-31,
neutralMale,11%,2019-08-12,
neutralMale,9%,2020-02-03,
neutralMale,10%,2020-08-11,
neutralMale,9%,2021-01-31,
neutralMale,9%,2021-08-09,
neutralMale,9%,2022-01-31,
neutralMale,7%,2022-08-08,
neutralMale,10%,2023-02-01,
neutralMale,8%,2023-08-09,
neutralMale,6%,2024-01-31,
noneMale,1%,2019-08-12,
noneMale,2%,2020-02-03,
noneMale,0%,2020-08-11,
noneMale,2%,2021-01-31,
noneMale,1%,2021-08-09,
noneMale,3%,2022-01-31,
noneMale,1%,2022-08-08,
noneMale,1%,2023-02-01,
noneMale,1%,2023-08-09,
noneMale,1%,2024-01-31,
dkMale,7%,2019-08-12,
dkMale,7%,2020-02-03,
dkMale,6%,2020-08-11,
dkMale,5%,2021-01-31,
dkMale,5%,2021-08-09,
dkMale,5%,2022-01-31,
dkMale,5%,2022-08-08,
dkMale,4%,2023-02-01,
dkMale,5%,2023-08-09,
dkMale,4%,2024-01-31,
separateFemale,50%,2019-08-12,
separateFemale,53%,2020-02-03,
separateFemale,51%,2020-08-11,
separateFemale,52%,2021-01-31,
separateFemale,48%,2021-08-09,
separateFemale,50%,2022-01-31,
separateFemale,46%,2022-08-08,
separateFemale,49%,2023-02-01,
separateFemale,47%,2023-08-09,
separateFemale,51%,2024-01-31,
bothFemale,38%,2019-08-12,
bothFemale,34%,2020-02-03,
bothFemale,37%,2020-08-11,
bothFemale,37%,2021-01-31,
bothFemale,41%,2021-08-09,
bothFemale,40%,2022-01-31,
bothFemale,44%,2022-08-08,
bothFemale,41%,2023-02-01,
bothFemale,47%,2023-08-09,
bothFemale,41%,2024-01-31,
neutralFemale,6%,2019-08-12,
neutralFemale,7%,2020-02-03,
neutralFemale,7%,2020-08-11,
neutralFemale,4%,2021-01-31,
neutralFemale,6%,2021-08-09,
neutralFemale,5%,2022-01-31,
neutralFemale,6%,2022-08-08,
neutralFemale,5%,2023-02-01,
neutralFemale,4%,2023-08-09,
neutralFemale,4%,2024-01-31,
noneFemale,1%,2019-08-12,
noneFemale,1%,2020-02-03,
noneFemale,1%,2020-08-11,
noneFemale,1%,2021-01-31,
noneFemale,1%,2021-08-09,
noneFemale,1%,2022-01-31,
noneFemale,1%,2022-08-08,
noneFemale,1%,2023-02-01,
noneFemale,1%,2023-08-09,
noneFemale,1%,2024-01-31,
dkFemale,4%,2019-08-12,
dkFemale,5%,2020-02-03,
dkFemale,4%,2020-08-11,
dkFemale,5%,2021-01-31,
dkFemale,5%,2021-08-09,
dkFemale,4%,2022-01-31,
dkFemale,3%,2022-08-08,
dkFemale,4%,2023-02-01,
dkFemale,2%,2023-08-09,
dkFemale,3%,2024-01-31,